Algoritmo,Conjunto,Tamanho,Tempo,Contagem
Selection Sort,Decrescentes,100000,13.616490125656128,704982704
Bubble Sort,Ordenados,100000,14.826038519541422,704982704
Insertion Sort,Ordenados,100000,0.0004252592722574,0
Selection Sort,Ordenados,100000,12.326788743336996,704982704
Bubble Sort,ParcialmenteOrdenados,100000,14.754768451054892,704982704
Insertion Sort,ParcialmenteOrdenados,100000,0.0021548271179199,555524
Selection Sort,ParcialmenteOrdenados,100000,12.277894973754885,704982704
Bubble Sort,Aleatórios,200000,127.97924280166626,-1474936480
Insertion Sort,Aleatórios,200000,29.772680362065632,1427447901
Selection Sort,Aleatórios,200000,48.83166631062826,-1474936480
Bubble Sort,Decrescentes,200000,103.24009704589844,-1474936480
Insertion Sort,Decrescentes,200000,59.56693879763285,-1478960539
Selection Sort,Decrescentes,200000,51.64138698577881,-1474936480
Bubble Sort,Ordenados,200000,58.98655780156454,-1474936480
Insertion Sort,Ordenados,200000,0.0008491675059,0
Selection Sort,Ordenados,200000,48.652954975763954,-1474936480
Bubble Sort,ParcialmenteOrdenados,200000,58.69932063420614,-1474936480
Insertion Sort,ParcialmenteOrdenados,200000,0.0028543472290039,633324
Selection Sort,ParcialmenteOrdenados,200000,48.69974764188131,-1474936480
Bubble Sort,Aleatórios,500000,788.3024179140726,445698416
Insertion Sort,Aleatórios,500000,183.70676279068,-2026454976
Selection Sort,Aleatórios,500000,300.53067509333295,445698416
Bubble Sort,Decrescentes,500000,632.487520535787,445698416
Insertion Sort,Decrescentes,500000,367.88518754641217,420565095
Selection Sort,Decrescentes,500000,306.51304872830707,445698416
Bubble Sort,Ordenados,500000,362.0838243166606,445698416
Insertion Sort,Ordenados,500000,0.0020818710327148,0
Selection Sort,Ordenados,500000,299.9606812795003,445698416
Bubble Sort,ParcialmenteOrdenados,500000,361.90257175763446,445698416
Insertion Sort,ParcialmenteOrdenados,500000,0.0035055478413899,445301
Selection Sort,ParcialmenteOrdenados,500000,299.99599019686383,445698416
Bubble Sort,Aleatórios,750000,1768.4870215257008,2076750760
Insertion Sort,Aleatórios,750000,412.97848558425903,-1272745067
Selection Sort,Aleatórios,750000,676.1263541380564,2076750760
Bubble Sort,Decrescentes,750000,1423.835393190384,2076750760
Insertion Sort,Decrescentes,750000,829.3311411539713,2020172502
Selection Sort,Decrescentes,750000,686.7666722933451,2076750760
Bubble Sort,Ordenados,750000,815.6795020103455,2076750760
Insertion Sort,Ordenados,750000,0.0031443436940511,0
Selection Sort,Ordenados,750000,676.8477862675985,2076750760
Bubble Sort,ParcialmenteOrdenados,750000,815.5303088029226,2076750760
Insertion Sort,ParcialmenteOrdenados,750000,0.0058997472127278,685084
Selection Sort,ParcialmenteOrdenados,750000,676.3648250897726,2076750760
Bubble Sort,Aleatórios,1000000,3151.642204999924,1783293664
Insertion Sort,Aleatórios,1000000,736.1262009143829,548342605
Selection Sort,Aleatórios,1000000,1205.5928959051769,1783293664
Bubble Sort,Decrescentes,1000000,2531.9226750532785,1783293664
Insertion Sort,Decrescentes,1000000,1476.365171591441,1682739550
Selection Sort,Decrescentes,1000000,1219.069658279419,1783293664
Bubble Sort,Ordenados,1000000,1452.6580837567649,1783293664
Insertion Sort,Ordenados,1000000,0.0042080879211425,0
Selection Sort,Ordenados,1000000,1205.7079205513,1783293664
Bubble Sort,ParcialmenteOrdenados,1000000,1451.82794658343,1783293664
Insertion Sort,ParcialmenteOrdenados,1000000,0.0060097376505533,605648
Selection Sort,ParcialmenteOrdenados,1000000,1205.393783569336,1783293664
Bubble Sort,Aleatórios,1250000,4932.837276220322,-434672872
Insertion Sort,Aleatórios,1250000,1151.9420483907063,-480216029
Selection Sort,Aleatórios,1250000,1886.1777619520824,-434672872
Bubble Sort,Decrescentes,1250000,3961.6547315120697,-434672872
Insertion Sort,Decrescentes,1250000,2310.630305369695,-591784480
Selection Sort,Decrescentes,1250000,1904.6825102170308,-434672872
Bubble Sort,Ordenados,1250000,2271.915272076925,-434672872
Insertion Sort,Ordenados,1250000,0.0056154727935791,0
Selection Sort,Ordenados,1250000,1887.2174798647563,-434672872
Bubble Sort,ParcialmenteOrdenados,1250000,2271.672571659088,-434672872
Insertion Sort,ParcialmenteOrdenados,1250000,0.0068276723225911,542933
Selection Sort,ParcialmenteOrdenados,1250000,1887.4521201451616,-434672872
